Country Embassy Represents,Contact email
Lebanon,emb.leb@btinternet.com
Lesotho,hicom@lesotholondon.org.uk
Lesotho,lesotholondon@gmail.com
Liberia,info@embassyofliberia.org.uk
Lithuania,amb.uk@urm.lt
Luxembourg,londres.amb@mae.etat.lu
Madagascar,ambamad.contact@madagascarembassy.org.uk
Malawi,malawihighcommission@btconnect.com
Malaysia,mwlon@btconnect.com
Mali,contact@ambassedemali.de
Malta,maltahighcommission.london@gov.mt
Mauritania,info@mauritanianembassy.org.uk
Mauritius,londonhc@govmu.org
Mexico,mexuk@sre.gob.mx
Moldova,embassy.london@mfa.gov.md
Monaco,embassy.uk@gouv.mc
Mongolia,chancery@embassyofmongolia.co.uk
Montenegro,unitedkingdom@mfa.gov.me
Morocco,ambalondres@maec.gov.ma
Mozambique,sectorconsular@mozambiquehc.co.uk 
Myanmar,ambassadoroffice@londonmyanmarembassy.com
Namibia,info@namibiahc.org.uk
Nauru,nauru@weald.co.uk
Nepal,eon@nepembassy.org.uk
Netherlands,LON@minbuza.nl
New Zealand,aboutnz@newzealandhc.org.uk
Nicaragua,embaniclondon@btconnect.com
Niger,ambaniger@t-online.de
Nigeria,information@nigeriahc.org.uk
North Macedonia,sek.london@mfa.gov.mk  
Norway,emb.london@mfa.no
Oman,london2@mofa.gov.om
Oman,london1@mofa.gov.om
Pakistan,phclondon@phclondon.org
Palau,office@honoraryconsul.org.uk
Panama,panama1@btconnect.com
Papua New Guinea,kunduldn3@btconnect.com
Peru,postmaster@peruembassy-uk.com
Philippines,embassy@philemb.co.uk
Philippines,london.pe@dfa.gov.ph
Poland,london@msz.gov.pl
Portugal,londres@mne.pt
Qatar,amb@qatarembassy.org.uk
Qatar,amblondon@mofa.gov.qa
Romania,londra@mae.ro
Russia,kanc@rusemb.org.uk
Rwanda,uk@rwandahc.org
Saint Christopher & Nevis,mission@sknhc.co.uk
Saint Lucia,enquiries@stluciahcuk.org
Saint Vincent & The Grenadines,info@svghighcom.co.uk
Samoa,samoaembassy@skynet.be
San Marino,dipartimentoaffariesteri@pa.sm
São Tomé and Príncipe,Ambassade@saotomeeprincipe.be
Senegal,senegalembassy@hotmail.co.uk
Serbia,london@serbianembassy.org.uk
Seychelles,office@seychelleshcl.co.uk 
Sierra Leone,info@slhc-uk.org.uk
Singapore,singhc_lon@mfa.sg
Slovakia,emb.london@mzv.sk
Slovenia,sloembassy.london@gov.si 
South Africa,london.sahc@dirco.gov.za
South Sudan,info@embrss.org.uk
Spain,emb.londres@maec.es
Sri Lanka,mail@slhc-london.co.uk
Sudan,info@sudan-embassy.co.uk
Suriname,Amb.frankrijk@gov.sr
Sweden,ambassaden.london@gov.se
Switzerland,london@eda.admin.ch
Tajikistan,tajemblondon@mfa.tj
Tanzania,Ublaozi@tzhc.uk
Thailand,rtelondon@thaiembassyuk.org.uk
Timor-Leste,info@tlembassy.co.uk
Trinidad & Tobago,hclondon@foreign.gov.tt
Turkey,embassy.london@mfa.gov.tr
Turkmenistan,tkm-embassy-uk@btconnect.com
Uganda,info@ugandahighcomission.co.uk
Ukraine,emb_gb@mfa.gov.ua 
United Arab Emirates,londonemb.info@mofaic.gov.ae
Uruguay,urureinounido@mrree.gub.uy
Uzbekistan,info@uzembassy.uk
Vanatu,info@vanuatuembassy.be 
Venezuela,ambassador@venezlon.co.uk
Vietnam,officeldn@vietnamembassy.org.uk
Yemen,admin@yemenembassy.co.uk
Zambia,info@zambiahc.org.uk
Zimbabwe,zimlondon@zimfa.gov.zw
Zimbabwe,zimembassy@zimlondon.gov.zw
